.id,date,text,start,end,speakernum,publisher,pub
f322e13d2d76e68c2c6f555c628e9f5047a3a7608c77357b9ab9507b,2023-11-14T00:00:00Z,"NPO Radio 1, het NOS Journaal.",0.5517826825127334,4.235993208828523,SPEAKER_03,sven,sven2023-11-14
dc71cac671fc519df341e3340a99e1e8de22a63d58338806d662c621,2023-11-14T00:00:00Z,"De Nederlandse economie is afgelopen kwartaal opnieuw een klein beetje gekrompen met 0,2%.

 Bedrijven investeerden volgens het CBS minder.

 Consumenten gaven meer uit aan auto's en minder aan schoenen, kleding en spullen voor het huis.

 Een man van 18 die gisteravond werd neergeschoten in Ridderkerk is overleden aan zijn verwondingen.

 De politie heeft de schutter nog niet gevonden.

 Er is onder meer een woning in Rotterdam doorzocht, maar er is nog niemand aangehouden.

 Wat de aanleiding was voor de schietpartij in Ridderkerk is nog niet duidelijk.

 De werkcultuur bij de NOS is op een aantal punten uit balans.

 Medewerkers vinden bijvoorbeeld dat er niet altijd goed wordt ingegrepen als er iemand niet functioneert.

 Er wordt teveel focus gelegd op het dagelijkse proces en een lange termijnvisie ontbreekt.

 Een onafhankelijk bureau heeft het onderzoek uitgevoerd.

 En Bart Verbruggen staat zaterdag in de EK-kwalificatiewedstrijd tegen Ierland op doel.

 Hij krijgt bij het Nederlands elftal de voorkeur boven de teruggekeerde Justin Bijlo van Feyenoord.

 Noranje moet één van de laatste twee kwalificatiewedstrijden winnen om zeker te zijn van het EK volgend jaar.",4.235993208828523,66.23938879456708,SPEAKER_09,sven,sven2023-11-14
71d8f387c4f8f9e0d6e2b0e5816bc694aeda674b0fa44705980dfdad,2023-11-14T00:00:00Z,"NPO Radio 1

 BNL",66.81663837011885,70.78947368421052,SPEAKER_03,sven,sven2023-11-14
710a2186da05f29e2c858fb466cd3546257d572a9dddabefa9380150,2023-11-14T00:00:00Z,Sven op 1,79.00679117147709,81.19694397283533,SPEAKER_02,sven,sven2023-11-14
f84d90d3b676a089c3e622ee05977432711429814575679ad13106b4,2023-11-14T00:00:00Z,Met Sven Kokkelman,81.34974533106961,82.52122241086587,SPEAKER_02,sven,sven2023-11-14
467bd6e9e8f1e63ba826e1e79be4766e69aa75e614128ba56f60c891,2023-11-14T00:00:00Z,"Dames en heren, goedemorgen. Nog acht dagen te gaan.

 Acht dagen tot de verkiezingen en de lijsttrekkers bijten inmiddels wat veller van zich af.

 Zoals mijn gast van vandaag, die zijn kiezen niet langer op elkaar kon houden na uitspraken van Frans Timmermans bij WNL op zondag.

 Rutte Vier had niets gedaan aan het klimaat. Duizend dagen stilstand.

 Zo zei de lijsttrekker van GroenLinks, P van de A. Nou, dat liet mijn gast niet over zijn kant gaan.

 Lelijke, onware uitspraken.

 En hij ging fel met hem in discussie op de redactievloer van de Telegraaf eerder gisteren.

 Hij moest het daar ook wel doen, want Timmermans deed die avond niet mee aan het RTL-debat.

 En mijn gast was niet uitgenodigd. Dus ja, wat moet je dan?

 En dan moet je hem maar te lijf gaan met die Twitter-uitspraken. Lelijke en onware uitspraken.

 Mijn gast van vandaag is Henry Bontebal, de lijsttrekker van het CDA.

 Meneer Bontebal, goedemorgen.

 Goedemorgen.

 Hoe is het met uw voeten?",82.52122241086587,130.02546689303907,SPEAKER_10,sven,sven2023-11-14
6ffecf8d4391b4da412d2172183fccc995e405de6f06c0a52c78085b,2023-11-14T00:00:00Z,"Ja, dit is... Eén voet had een ontsteking. Maar ik heb een vakkundig dokter en die heeft het volgens mij verholpen.

 Ik ga gewoon nog acht dagen doen alsof er niks aan de hand is.

 Dus u kunt nog op uw benen staan?

 Ja, maar de moeheid begint wel toe te slaan.

 Tegelijkertijd heb ik ook nog enorm veel energie om deze laatste acht dagen te doen.

 Dus mij krijgt u niet klein, nog acht dagen. Daarna weet ik het niet.

 En hoe is het met uw kuif?

 Hoezo? Of ik daarin gepikt ben?",131.12903225806454,160.31409168081495,SPEAKER_13,sven,sven2023-11-14
6a9ba5474fe6c9d5fe2320131bb83b108d82443ed4518dd88f47ce7f,2023-11-14T00:00:00Z,"U voelt u in die kuif gepikt, zei Frans Timmermans gisteravond bij VE.

 Ja, dat was wel zo. Ja, het raakt me.",157.24108658743634,164.55857385398983,SPEAKER_10,sven,sven2023-11-14
d48d412e11e25839ef7b22c8e7a7af1b6290420e1c6b8c35a790c462,2023-11-14T00:00:00Z,"Ik heb twee jaar echt heel hard gewerkt als Kamerlid om het profiel van het CDA op het gebied van verduurzaming goed te krijgen.

 Als ik weet hoe hard wij gewerkt hebben in de coalitie, met de andere partijen ook, dat we heel vaak resultaten hebben geboekt.

 En als iemand dan even argeloos, terwijl die zelf een paar jaar in Brussel heeft gezeten en zich eigenlijk heel weinig met Nederland bemoeid heeft...

 Wel maar dat is prima.",164.55857385398983,189.5331069609508,SPEAKER_13,sven,sven2023-11-14
d887d54ceb4fd653ead88b5bfd9e2f4c3d4e45b5ff61753fbf5e13fe,2023-11-14T00:00:00Z,"Ja, maar hij heeft zich heel weinig blijkbaar verdiept die afgelopen duizend dagen in wat er in Nederland is gebeurd.

 En als je dan met één pennenstreek zoiets zegt, dat vind ik gewoon, dat doet gewoon absoluut geen recht.

 En als je een mogelijke premierkandidaat bent, moet je je vindt ik zorgvuldig uitdrukken. En dat vond ik dat absoluut niet.",190.48387096774195,210.00848896434636,SPEAKER_13,sven,sven2023-11-14
