title,speakernum,start,end,spreker,majority_speaker,majority_perc,closest_speaker,closest_dist,text
sven20231106,SPEAKER_08,4.847198641765704,59.940577249575554,n,,1.0,n,0.9019789183047043," de Oekraïense president Zelensky heeft zijn medeleven betuigd aan de nabestaanden van de militairen die afgelopen week zijn omgekomen na een Russische raketaanval in de regio Zaporizhia. Verschillende Oekraïense media melden dat de doden vielen bij medailleuitreiking. Dit is een tragedie die voorkomen had kunnen worden, zei Zelensky gisteravond in een toespraak.

 Dat is 30% minder dan in 2021."
sven20231106,SPEAKER_12,64.7453310696095,72.99660441426147,n,,1.0,dassen,1.4205108739453605," NPO Radio 1, BNL, Sven op 1, met Sven Kokkelman."
sven20231106,SPEAKER_11,72.99660441426147,117.73344651952462,n,,0.7435897435897436,wilders,0.8684895807418436," Dames en heren, goedemorgen, nog 16 dagen en dan gaan de stembussen open. 16 dagen tot misschien wel de meest onvoorspelbare verkiezingen in decennia.

 En dus ontvang ik hier de komende tweeënhalve week elke dag een lijsttrekker. Niet voor een debat, maar voor een stevig journalistiek gesprek. Natuurlijk over de politieke actualiteit, maar vooral over het verkiezingsprogramma van de betreffende partij vandaag.

 De man die geldt als de grootste eurofiel van de Tweede Kamer, boegbeeld van de partij die is opgericht om ons continent om te vormen tot de Verenigde Staten van Europa, die van Brussel, naast Washington en Peking, de machtigste stad van de wereld wil maken.

 Mijn gast van vandaag is Laurens Das, de lijsttrekker van Volt. Meneer Das, goedemorgen. Er is in elk geval één vraag die ik u niet hoef te stellen, toch?"
sven20231106,SPEAKER_13,119.99151103565364,142.70797962648558,dassen,dassen,0.8909090909090909,dassen,0.5754995129512134," Dat is een goede vraag. U weet niet welke vraag ik bedoel? Nou, ik denk dat u erop gokt of ik premier wil worden. Want dat is volgens mij de vraag waar altijd elk debat mee begonnen wordt."
sven20231106,SPEAKER_11,131.62139219015282,167.00339558573856,n,,0.7435897435897436,dassen,0.8016870887815093," Zeker, ja. Dat hoef ik u niet te vragen. We hebben met Volt een heel duidelijk verkiezingsprogramma met hele duidelijke keuzes die we durven te maken. En of wij nou in de oppositie of coalitie zitten, daar gaan we voor knoppen.

 Maar goed, u staat in de peilingwijzer tussen de drie en de zes zetels bij Maurice Trond, gisteren op vier. Met andere woorden, dan kom je niet door, weet je toch?

 Ik denk niet dat dat realistisch is. Die vraag was gisteravond ook weer gesteld aan het adres van Pieter Omtzigt, natuurlijk, bij het RTL-debat.

 Er kwam niet een duidelijk antwoord op, hoewel, als je goed luisterde, neigde hij in mijn beleving weer iets meer naar ik blijf in de Kamer. Dacht u hetzelfde of niet?"
sven20231106,SPEAKER_13,167.00339558573856,208.9049235993209,dassen,dassen,0.8909090909090909,dassen,0.5481016962649382," Ja, kijk, ik zou zeggen, ben gewoon duidelijk op wie je uiteindelijk als premierscandidaat naar voren stemt. Dan hoeven we er ook niet de hele tijd over te discussiëren.

 Spuur je enige irritatie?

 Nou, kijk, het moet over de inhoud gaan. En nu wordt de hele tijd de vraag gesteld wie wordt de premierscandidaat van Pieter Omtzigt.

 Dus ben daar gewoon duidelijk over. Over 22 november zijn de verkiezingen. Dus volgens mij is die tijd wel rijp.

 Dus uw oproep aan hem is Pieter, wees eens duidelijk.

 Ja, zeker. Wees duidelijk over premierscandidaat en wees duidelijk wat je met Europa wil. Ben duidelijk over de richting die je met het land op gaat.

 Vond u van het debat trouwens?

 Het voelde voor mij een beetje alsof ik naar de formaties had te kijken. En dan een formatie met drie mensen die allemaal onderdeel zijn geweest van de Rutte-kabinetten."
sven20231106,SPEAKER_13,209.1086587436333,240.34804753820035,dassen,dassen,0.8909090909090909,dassen,0.43287405647150445," Elkaar daar niet op durfden aan te spreken. Dus ik had toch een beetje het gevoel alsof we bezig waren met de voortzetting van de Rutte-kabinetten.

 Dat we richting Rutte 5 gaan. Alleen dan nog zonder Rutte zelf.

 Weet u het laatste zeker?

 Ik hoop het niet. Maar het is wel een zorg die ik heb. Want er worden fluwele handschoentjes worden aangetrokken. Niemand wordt er duidelijk bevraagd.

 Ik verwacht dat Frans Timmermans Pieter Omtzigt bevraagt op wat hij wil met Europa.

 Gebeurt niet. Er wordt gesproken over een morele ondergrens van migratie. Die zijn we wat mij betreft al lang doorbroken."
sven20231106,SPEAKER_11,240.58573853989816,248.5314091680815,n,,0.7435897435897436,wilders,0.8940080482181562, U waarschuwde in het Zeehandelsblad voor de gevolgen van het aan de macht komen van Pieter Omtzigt. We gaan veertig stappen terug. Wat bent u precies bang voor?
sven20231106,SPEAKER_13,249.04074702886248,263.6926994906621,dassen,dassen,0.8909090909090909,dassen,0.5520685264385341," Kijk, alle grote uitdagingen waar het deze campagne over gaat. Klimaat, bestaanszekerheid, digitalisering, migratie.

 Die vragen allemaal om een Europese oplossing. En wat doet Pieter Omtzigt in zijn verkiezingsprogramma?

 Hij wil graag dat nationale parlementen weer een veto krijgen. En eigenlijk over elk besluit waar de Europese Unie over gaat."
sven20231106,SPEAKER_13,263.9473684210526,283.0984719864176,dassen,dassen,0.8909090909090909,dassen,0.47562014573011496," Dat nationale parlementen een veto krijgen. Daarmee krijgt Viktor Orbán op elk dossier een vetorecht.

 Dan wordt de Europese Unie onbestuurbaar. Dus als je het hebt over goed bestuur. Dan moet je ook zorgen dat de Europese Unie goed bestuurd kan worden."
